2025-09-18 19:41:28,197 - INFO - 📋 Starting Modularized Optuna Pipeline
2025-09-18 19:41:28,198 - INFO - 📦 Original shape: (15000, 11)
2025-09-18 19:41:28,198 - INFO - 🧹 Cleaning dataset (dropping NaNs)
2025-09-18 19:41:28,213 - INFO - 📐 Performing train-test split.
2025-09-18 19:41:28,285 - INFO - ✅ After dropna: (14694, 11)
2025-09-18 19:41:28,285 - INFO - 🚀 Starting optimization for: torch_mlp
2025-09-18 19:46:49,943 - INFO - 🔁 Trial 0: Best RMSE=inf, Best R2=0.6036, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-18 19:48:44,982 - INFO - 🔁 Trial 1: Best RMSE=inf, Best R2=0.6036, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-18 19:54:46,917 - INFO - 🔁 Trial 2: Best RMSE=inf, Best R2=0.6036, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-18 19:55:56,928 - INFO - 🔁 Trial 3: Best RMSE=inf, Best R2=0.6036, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-18 19:57:34,482 - INFO - 🔁 Trial 4: Best RMSE=inf, Best R2=0.6036, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-18 19:57:49,100 - INFO - 🔁 Trial 5: Best RMSE=inf, Best R2=0.6036, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-18 19:59:17,389 - INFO - 🔁 Trial 6: Best RMSE=inf, Best R2=0.6608, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-18 20:01:13,791 - INFO - 🔁 Trial 7: Best RMSE=inf, Best R2=0.6608, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-18 20:09:36,374 - INFO - 🔁 Trial 8: Best RMSE=inf, Best R2=0.7053, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-18 20:10:41,743 - INFO - 🔁 Trial 9: Best RMSE=inf, Best R2=0.7053, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-18 20:20:58,677 - INFO - 🔁 Trial 10: Best RMSE=inf, Best R2=0.7865, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-18 20:24:38,387 - INFO - 🔁 Trial 11: Best RMSE=inf, Best R2=0.7865, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-18 20:30:18,105 - INFO - 🔁 Trial 12: Best RMSE=inf, Best R2=0.8003, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
2025-09-18 20:36:42,666 - INFO - 🔁 Trial 13: Best RMSE=inf, Best R2=0.8003, Best Params={'torch_mlp_hidden_dim': 28, 'torch_mlp_lr': 9.099494599719471e-05, 'torch_mlp_batch_size': 32, 'torch_mlp_epochs': 50}
